#address	crate	slot	channel	name	number	strip	offset	gain	quad	time
0x00000200	0	2	0	name   0	1	0	0.976	0	0
0x00000201	0	2	1	name   1	2	0	0.989	0	0
0x00000202	0	2	2	name   2	3	0	1.014	0	0
0x00000203	0	2	3	name   3	4	0	1.008	0	0
0x00000204	0	2	4	name   4	5	0	0.997	0	0
0x00000205	0	2	5	name   5	6	0	1.002	0	0
0x00000206	0	2	6	name   6	7	0	0.951	0	0
0x00000207	0	2	7	name   7	8	0	0.983	0	0
0x00000208	0	2	8	name   8	9	0	0.991	0	0
0x00000209	0	2	9	name	9	10	0	0.992	0	0
0x0000020a	0	2	10	name	10	11	0	0.993	0	0
0x0000020b	0	2	11	name	11	12	0	0.963	0	0
0x0000020c	0	2	12	name	12	13	0	0.964	0	0
0x0000020d	0	2	13	name	13	14	0	0.972	0	0
0x0000020e	0	2	14	name	14	15	0	0.969	0	0
0x0000020f	0	2	15	name	15	16	0	0.949	0	0
0x00000300	0	3	0	name	16	17	0	0.807	0	0
0x00000301	0	3	1	name	17	18	0	0.991	0	0
0x00000302	0	3	2	name	18	19	0	0.988	0	0
0x00000303	0	3	3	name	19	20	0	0.968	0	0
0x00000304	0	3	4	name	20	21	0	0.975	0	0
0x00000305	0	3	5	name	21	22	0	0.962	0	0
0x00000306	0	3	6	name	22	23	0	0.959	0	0
0x00000307	0	3	7	name	23	24	0	0.97	0	0
0x00000308	0	3	8	name	24	25	0	0.979	0	0
0x00000309	0	3	9	name	25	26	0	0.997	0	0
0x0000030a	0	3	10	name	26	27	0	1.025	0	0
0x0000030b	0	3	11	name	27	28	0	0.991	0	0
0x0000030c	0	3	12	name	28	29	0	1.019	0	0
0x0000030d	0	3	13	name	29	30	0	0.961	0	0
0x0000030e	0	3	14	name	30	31	0	0.987	0	0
0x0000030f	0	3	15	name	31	32	0	0.954	0	0
0x00000400	0	4	0	name	32	33	0	1.034	0	0
0x00000401	0	4	1	name	33	34	0	1.099	0	0
0x00000402	0	4	2	name	34	35	0	1.071	0	0
0x00000403	0	4	3	name	35	36	0	1.049	0	0
0x00000404	0	4	4	name	36	37	0	1.049	0	0
0x00000405	0	4	5	name	37	38	0	1.058	0	0
0x00000406	0	4	6	name	38	39	0	1.075	0	0
0x00000407	0	4	7	name	39	40	0	1.073	0	0
0x00000408	0	4	8	name	40	40	0	1	0	0
0x00000409	0	4	9	name	41	39	0	1	0	0
0x0000040a	0	4	10	name	42	38	0	1	0	0
0x0000040b	0	4	11	name	43	37	0	1	0	0
0x0000040c	0	4	12	name	44	36	0	1	0	0
0x0000040d	0	4	13	name	45	35	0	1	0	0
0x0000040e	0	4	14	name	46	34	0	1	0	0
0x0000040f	0	4	15	name	47	33	0	1	0	0
0x00000500	0	5	0	name	48	32	0	1	0	0
0x00000501	0	5	1	name	49	31	0	1	0	0
0x00000502	0	5	2	name	50	30	0	1	0	0
0x00000503	0	5	3	name	51	29	0	1	0	0
0x00000504	0	5	4	name	52	28	0	1	0	0
0x00000505	0	5	5	name	53	27	0	1	0	0
0x00000506	0	5	6	name	54	26	0	1	0	0
0x00000507	0	5	7	name	55	25	0	1	0	0
0x00000508	0	5	8	name	56	24	0	1	0	0
0x00000509	0	5	9	name	57	23	0	1	0	0
0x0000050a	0	5	10	name	58	22	0	1	0	0
0x0000050b	0	5	11	name	59	21	0	1	0	0
0x0000050c	0	5	12	name	60	20	0	1	0	0
0x0000050d	0	5	13	name	61	19	0	1	0	0
0x0000050e	0	5	14	name	62	18	0	1	0	0
0x0000050f	0	5	15	name	63	17	0	1	0	0
0x00000600	0	6	0	name	64	16	0	1	0	0
0x00000601	0	6	1	name	65	15	0	1	0	0
0x00000602	0	6	2	name	66	14	0	1	0	0
0x00000603	0	6	3	name	67	13	0	1	0	0
0x00000604	0	6	4	name	68	12	0	1	0	0
0x00000605	0	6	5	name	69	11	0	1	0	0
0x00000606	0	6	6	name	70	10	0	1	0	0
0x00000607	0	6	7	name   71	9	0	1	0	0
0x00000608	0	6	8	name   72	8	0	1	0	0
0x00000609	0	6	9	name   73	7	0	1	0	0
0x0000060a	0	6	10	name   74	6	0	1	0	0
0x0000060b	0	6	11	name   75	5	0	1	0	0
0x0000060c	0	6	12	name   76	4	0	1	0	0
0x0000060d	0	6	13	name   77	3	0	1	0	0
0x0000060e	0	6	14	name   78	2	0	1	0	0
0x0000060f	0	6	15	name   79	1	0	1	0	0
0x00000700	0	7	0	name   80	1	0	1.121	0	0
0x00000701	0	7	1	name   81	2	0	1.045	0	0
0x00000702	0	7	2	name   82	3	0	1.058	0	0
0x00000703	0	7	3	name   83	4	0	1.061	0	0
0x00000704	0	7	4	name   84	5	0	1.063	0	0
0x00000705	0	7	5	name   85	6	0	1.082	0	0
0x00000706	0	7	6	name   86	7	0	1.076	0	0
0x00000707	0	7	7	name   87	8	0	1.068	0	0
0x00000708	0	7	8	name   88	9	0	1.025	0	0
0x00000709	0	7	9	name	89	10	0	1.053	0	0
0x0000070a	0	7	10	name	90	11	0	1.048	0	0
0x0000070b	0	7	11	name	91	12	0	1.061	0	0
0x0000070c	0	7	12	name	92	13	0	1.045	0	0
0x0000070d	0	7	13	name	93	14	0	1.072	0	0
0x0000070e	0	7	14	name	94	15	0	1.074	0	0
0x0000070f	0	7	15	name	95	16	0	1.011	0	0
0x00000800	0	8	0	name	96	17	0	1.029	0	0
0x00000801	0	8	1	name	97	18	0	1.056	0	0
0x00000802	0	8	2	name	98	19	0	1.04	0	0
0x00000803	0	8	3	name	99	20	0	1.071	0	0
0x00000804	0	8	4	name	100	21	0	1.085	0	0
0x00000805	0	8	5	name	101	22	0	1.068	0	0
0x00000806	0	8	6	name	102	23	0	1.047	0	0
0x00000807	0	8	7	name	103	24	0	1.058	0	0
0x00000808	0	8	8	name	104	25	0	1.089	0	0
0x00000809	0	8	9	name	105	26	0	1.072	0	0
